
이미지 이름                    PID 세션 이름              세션#  메모리 사용
svchost.exe                  12628 Services                   0        952 K
svchost.exe                  12872 Services                   0      1,260 K
svchost.exe                  12880 Services                   0      1,136 K
svchost.exe                  12948 Services                   0      2,636 K
svchost.exe                   7940 Services                   0      2,012 K
NVDisplay.Container.exe       2212 Console                    1     12,720 K
svchost.exe                   4120 Services                   0     19,076 K
svchost.exe                   6296 Services                   0     10,680 K
svchost.exe                   4912 Services                   0     15,912 K
svchost.exe                   2676 Services                   0     17,048 K
svchost.exe                   8528 Services                   0      4,860 K
svchost.exe                   2416 Services                   0      7,256 K
svchost.exe                   2776 Services                   0      2,296 K
svchost.exe                   3184 Services                   0     14,784 K
svchost.exe                   4420 Services                   0      3,872 K
SearchIndexer.exe              656 Services                   0     31,040 K
svchost.exe                   4080 Services                   0     23,172 K
svchost.exe                  10688 Services                   0     10,676 K
svchost.exe                    844 Services                   0      9,516 K
StarPlayerAgent64.exe         2356 Console                    1      2,760 K
dptf_helper.exe              10160 Console                    1      1,500 K
SamsungSystemSupportEngin    10696 Console                    1      4,276 K
conhost.exe                   2124 Console                    1        164 K
SamsungSecuritySupporter.     4416 Console                    1      1,612 K
AnySign4PC.exe                3444 Console                    1        524 K
sihost.exe                   13516 Console                    1     18,408 K
svchost.exe                  11140 Console                    1      1,364 K
svchost.exe                  13180 Console                    1      7,324 K
svchost.exe                  12172 Console                    1      1,008 K
dllhost.exe                  13876 Console                    1      9,212 K
kpmcnt.exe                   10788 Console                    1        712 K
svchost.exe                  12892 Console                    1     21,652 K
igfxEMN.exe                  11432 Console                    1      5,424 K
taskhostw.exe                 5404 Console                    1      5,692 K
svchost.exe                   3824 Services                   0     18,152 K
svchost.exe                   4748 Services                   0      2,052 K
SKCertService.exe            11132 Console                    1      1,672 K
INISAFEAdminUtil.exe         12188 Console                    1         16 K
explorer.exe                 13476 Console                    1    127,848 K
ShellHost.exe                 8840 Console                    1      5,316 K
macourtsafer.exe              8380 Console                    1        216 K
I3GProc.exe                   8432 Console                    1         24 K
CrossDeviceResume.exe         8932 Console                    1      3,676 K
sServiceKeyMonitor.exe       11260 Console                    1      2,576 K
MagicLine4NX.exe             10576 Console                    1      1,504 K
IMGSF50Start_x64.exe         14444 Console                    1      1,720 K
IMGSF50Start_x86.exe         14500 Console                    1      3,368 K
INISAFECrossWebEXSvc.exe     14912 Console                    1        888 K
svchost.exe                  14196 Console                    1      7,056 K
delfino.exe                  15712 Console                    1      4,244 K
nosstarter.npe               16076 Console                    1     13,356 K
svchost.exe                  16132 Services                   0        784 K
StartMenuExperienceHost.e    13796 Console                    1     28,152 K
SamsungAirAction.exe         15608 Console                    1      1,724 K
SearchHost.exe               15632 Console                    1     22,068 K
svchost.exe                  16692 Console                    1     14,372 K
veraport-x64.exe             16736 Console                    1      1,356 K
RuntimeBroker.exe            16824 Console                    1     21,232 K
ransomdefenders.exe          16832 Console                    1      2,712 K
StSess.exe                   17160 Console                    1      4,380 K
svchost.exe                  14748 Services                   0      5,992 K
msedgewebview2.exe           18372 Console                    1     33,544 K
msedgewebview2.exe           19336 Console                    1      1,116 K
WidgetBoard.exe              19428 Console                    1     10,972 K
ctfmon.exe                   13352 Console                    1     16,180 K
TabTip.exe                    6252 Console                    1     12,628 K
msedgewebview2.exe           19592 Console                    1      8,136 K
msedgewebview2.exe           19632 Console                    1     19,288 K
msedgewebview2.exe           19680 Console                    1      3,176 K
msedgewebview2.exe           19704 Console                    1     12,760 K
TextInputHost.exe            21364 Console                    1     21,844 K
StSess32.exe                 15844 Console                    1      2,600 K
RtkAudUService64.exe         15736 Console                    1      2,708 K
SecurityHealthSystray.exe    12228 Console                    1      2,584 K
SecurityHealthService.exe    14344 Services                   0      7,080 K
MaximAudioService64.exe      10344 Console                    1      4,904 K
ALCapture.exe                20540 Console                    1      1,300 K
alnotify.exe                 10324 Console                    1        664 K
ColorEngine.exe              15884 Console                    1      2,428 K
igfxextN.exe                 24924 Console                    1      4,780 K
KakaoTalk.exe                24492 Console                    1     19,920 K
WidgetService.exe            24220 Console                    1      6,684 K
MicrosoftStartFeedProvide    24596 Console                    1     20,464 K
ShellExperienceHost.exe      24848 Console                    1     31,724 K
